# Time-averaged data for fix tout
# TimeStep c_watT
45500 298.682
45600 308.062
45700 300.581
45800 296.315
45900 293.313
46000 310.617
46100 295.964
46200 302.486
46300 301.899
46400 297.926
46500 300.754
46600 301.893
46700 299.342
46800 310.753
46900 295.906
47000 312.791
47100 301.577
47200 309.724
47300 306.285
47400 299.127
47500 313.921
47600 304.118
47700 310.795
47800 301.054
47900 293.997
48000 304.378
48100 294.655
48200 298.567
48300 297.648
48400 308.288
48500 296.848
48600 293.743
48700 298.05
48800 300.177
48900 294.807
49000 299.459
49100 297.899
49200 297.066
49300 308.107
49400 305.4
49500 294.885
49600 284.694
49700 304.51
49800 304.085
49900 306.073
50000 297.452
50100 297.354
50200 296.973
50300 295.682
50400 290.756
50500 295.627
50600 289.455
50700 295.531
50800 297.968
50900 295.635
51000 291.489
51100 312.901
51200 288.589
51300 286.863
51400 287.534
51500 297.403
51600 301.78
51700 293.923
51800 310.791
51900 289.915
52000 283.601
52100 288.669
52200 289.184
52300 296.848
52400 299.683
52500 293.866
52600 283.845
52700 287.423
52800 288.691
52900 287.525
53000 307.242
53100 303.82
53200 307.535
53300 295.936
53400 289.328
53500 282.457
53600 295.329
53700 282.735
53800 290.239
53900 292.266
54000 292.664
54100 294.545
54200 301.431
54300 296.492
54400 296.276
54500 285.75
54600 295.66
54700 288.598
54800 286.571
54900 296.051
55000 296.91
55100 288.593
55200 296.468
55300 301.595
55400 285.398
55500 296.392
55600 302.13
55700 313.811
55800 298.014
55900 289.395
56000 302.002
56100 297.067
56200 298.198
56300 284.471
56400 300.071
56500 301.923
56600 306.055
56700 295.772
56800 296.924
56900 301.628
57000 291.794
57100 287.199
57200 303.985
57300 305.624
57400 302.08
57500 301.868
57600 298.211
57700 307.795
57800 304.679
57900 310.15
58000 315.728
58100 290.154
58200 311.15
58300 298.931
58400 308.3
58500 295.421
58600 306.615
58700 310.857
58800 304.759
58900 307.305
59000 305.514
59100 308.08
59200 300.757
59300 301.75
59400 301.111
59500 305.849
59600 291.174
59700 309.173
59800 296.593
59900 294.128
60000 295.016
60100 302.36
60200 302.189
60300 299.95
60400 302.566
60500 302.384
60600 300.125
60700 301.517
60800 306.9
60900 302.44
61000 291.648
61100 300.363
61200 294.936
61300 307.246
61400 302.348
61500 294.387
61600 293.713
61700 298.225
61800 301.471
61900 301.982
62000 298.297
62100 305.884
62200 297.883
62300 305.652
62400 297.811
62500 297.834
62600 299.414
62700 290.972
62800 293.143
62900 294.151
63000 300.169
63100 310.355
63200 283.969
63300 293.599
63400 289.768
63500 300.797
63600 293.473
63700 293.52
63800 292.483
63900 292.109
64000 293.225
64100 304.44
64200 301.213
64300 298.416
64400 312.961
64500 305.75
64600 303.108
64700 300.006
64800 310.877
64900 295.453
65000 296.974
65100 301.104
65200 295.461
65300 311.36
65400 304.105
65500 297.785
65600 295.552
65700 305.114
65800 297.828
65900 302.998
66000 302.298
66100 303.162
66200 305.172
66300 314.08
66400 301.381
66500 292.864
66600 293.075
66700 295.258
66800 309.577
66900 292.323
67000 294.4
67100 298.639
67200 302.585
67300 291.228
67400 303.399
67500 299.478
67600 302.211
67700 292.219
67800 305.988
67900 302.167
68000 305.3
68100 308.195
68200 294.137
68300 295.774
68400 297.339
68500 289.064
68600 300.369
68700 300.373
68800 312.668
68900 308.425
69000 298.754
69100 307.108
69200 303.126
69300 301.756
69400 294.208
69500 295.197
69600 317.281
69700 305.919
69800 287.288
69900 307.95
70000 297.263
70100 301.121
70200 308.175
70300 293.775
70400 295.916
70500 298.828
70600 292.035
70700 294.221
70800 286.204
70900 295.4
71000 291.225
71100 293.611
71200 295.624
71300 296.8
71400 292.48
71500 290.932
71600 297.936
71700 302.794
71800 289.184
71900 289.94
72000 294.585
72100 290.855
72200 316.226
72300 304.459
72400 293.91
72500 301.721
72600 304.839
72700 296.769
72800 291.596
72900 303.144
73000 290.48
73100 299.554
73200 287.109
73300 301.566
73400 292.438
73500 302.51
73600 294.931
73700 290.593
73800 304.723
73900 293.443
74000 286.474
74100 292.051
74200 304.402
74300 302.997
74400 304.187
74500 306.082
74600 301.412
74700 306.272
74800 307.301
74900 304.517
75000 289.048
75100 299.596
75200 292.237
75300 297.423
75400 291.629
75500 283.126
75600 292.386
75700 289.418
75800 298.819
75900 307.47
76000 305.804
76100 287.539
76200 290.506
76300 296.356
76400 298.412
76500 288.686
76600 294.893
76700 305.296
76800 302.622
76900 302.216
77000 299.313
77100 295.221
77200 295.99
77300 298.871
77400 300.223
77500 300.594
77600 301.911
77700 295.591
77800 294.089
77900 298.95
78000 296.633
78100 304.653
78200 304.787
78300 302.02
78400 305.513
78500 298.412
78600 295.991
78700 293.73
78800 304.877
78900 293.611
79000 299.646
79100 300.326
79200 299.227
79300 304.03
79400 304.769
79500 297.826
79600 292.695
79700 305.134
79800 295.291
79900 306.79
80000 304.329
80100 295.184
80200 297.265
80300 299.542
80400 296.175
80500 288.355
80600 300.661
80700 283.25
80800 297.323
80900 308.924
81000 318.348
81100 304.399
81200 293.534
81300 298.921
81400 295.751
81500 303.21
81600 298.825
81700 297.778
81800 307.345
81900 312.982
82000 292.749
82100 291.366
82200 295.263
82300 306.044
82400 305.996
82500 306.372
82600 293.95
82700 311.638
82800 303.769
82900 304.672
83000 309.841
83100 299.024
83200 299.668
83300 301.889
83400 300.202
83500 295.843
83600 305.634
83700 304.519
83800 300.124
83900 299.816
84000 295.134
84100 302.061
84200 295.161
84300 295.654
84400 300.082
84500 293.362
84600 301.944
84700 303.698
84800 287.272
84900 296.573
85000 300.505
85100 290.956
85200 299.811
85300 297.339
85400 299.769
85500 291.5
85600 299.01
85700 292.171
85800 296.982
85900 288.097
86000 295.217
86100 286.558
86200 300.315
86300 290.255
86400 296.604
86500 286.713
86600 296.495
86700 301.48
86800 290.834
86900 288.779
87000 297.665
87100 308.327
87200 292.631
87300 281.181
87400 301.872
87500 298.649
87600 294.197
87700 305.164
87800 292.419
87900 294.991
88000 307.699
88100 301.718
88200 293.357
88300 298.3
88400 291.269
88500 301.303
88600 302.622
88700 284.533
88800 289.449
88900 288.98
89000 302.662
89100 294.027
89200 291.666
89300 293.63
89400 297.911
89500 298.714
89600 300.76
89700 286.697
89800 286.136
89900 292.931
90000 313.453
90100 294.155
90200 298.598
90300 290.763
90400 286.603
90500 293.314
90600 299.298
90700 291.159
90800 290.894
90900 304.236
91000 290.165
91100 301.07
91200 294.254
91300 289.793
91400 291.606
91500 307.721
91600 293.67
91700 297.204
91800 297.579
91900 302.793
92000 295.898
92100 299.784
92200 302.725
92300 307.142
92400 300.798
92500 298.535
92600 306.226
92700 304.298
92800 300.705
92900 308.141
93000 296.113
93100 298.107
93200 308.641
93300 296.638
93400 301.846
93500 314.977
93600 307.667
93700 313.009
93800 307.217
93900 308.435
94000 309.612
94100 302.958
94200 289.743
94300 311.882
94400 287.917
94500 312.621
94600 294.112
94700 301.942
94800 299.856
94900 297.264
95000 295.875
95100 306.077
95200 287.546
95300 300.302
95400 290.733
95500 300.689
95600 294.734
95700 293.031
95800 300.768
95900 288.8
96000 300.664
96100 300.486
96200 303.626
96300 310.492
96400 298.328
96500 289.787
96600 306.494
96700 304.864
96800 305.908
96900 293.554
97000 297.114
97100 299.549
97200 288.548
97300 300.071
97400 292.334
97500 295.041
97600 288.713
97700 298.305
97800 292.363
97900 307.598
98000 310.214
98100 288.853
98200 297.052
98300 304.32
98400 294.091
98500 304.561
98600 292.093
98700 290.059
98800 287.751
98900 298.661
99000 299.915
99100 299.886
99200 303.123
99300 303.53
99400 296.972
99500 307.927
99600 300.943
99700 304.109
99800 300.005
99900 296.949
100000 306.919
100100 301.413
100200 298.052
100300 308.742
100400 295.525
100500 300.068
100600 304.374
100700 301.625
100800 300.317
100900 296.116
101000 301.357
101100 291.49
101200 293.446
101300 301.422
101400 297.683
101500 299.919
101600 294.21
101700 290.271
101800 286.231
101900 297.096
102000 294.924
102100 280.877
102200 287.206
102300 301.081
102400 301.473
102500 302.587
102600 289.817
102700 288.89
102800 301.693
102900 303.748
103000 296.574
103100 302.813
103200 298.576
103300 294.927
103400 294.756
103500 303.09
103600 314.015
103700 300.885
103800 300.279
103900 303.58
104000 285.616
104100 289.748
104200 302.472
104300 300.199
104400 285.499
104500 298.771
104600 292.173
104700 295.312
104800 300.096
104900 289.013
105000 300.743
105100 293.776
105200 301.366
105300 301.641
105400 292.256
105500 306.286
105600 299.378
105700 297.357
105800 296.21
105900 313.953
106000 307.347
106100 301.768
106200 305.316
106300 304.361
106400 291.327
106500 304.537
106600 310.456
106700 298.193
106800 304.344
106900 303.674
107000 294.335
107100 295.421
107200 291.387
107300 293.751
107400 298.386
107500 303.321
107600 302.546
107700 308.322
107800 297.878
107900 295.897
108000 310.297
108100 301.461
108200 304.455
108300 296.175
108400 306.235
108500 312.847
108600 300.258
108700 305.329
108800 306.105
108900 308.073
109000 315.339
109100 310.048
109200 303.902
109300 301.27
109400 303.288
109500 303.968
109600 294.85
109700 298.246
109800 308.204
109900 301.509
110000 301.131
110100 296.575
110200 290.855
110300 299.917
110400 304.122
110500 285.704
110600 290.694
110700 294.203
110800 299.624
110900 288.603
111000 290.192
111100 286.718
111200 292.075
111300 297.575
111400 301.747
111500 285.77
111600 299.563
111700 298.722
111800 301.115
111900 298.906
112000 300.152
112100 302.169
112200 295.795
112300 283.164
112400 294.112
112500 300.656
112600 294.208
112700 299.78
112800 300.221
112900 302.345
113000 296.085
113100 295.505
113200 296.17
113300 296.356
113400 290.742
113500 286.059
113600 301.013
113700 302.302
113800 295.915
113900 297.998
114000 294.481
114100 302.16
114200 298.157
114300 299.694
114400 303.123
114500 292.382
114600 303.564
114700 306.76
114800 305.192
114900 293.378
115000 308.176
115100 288.762
115200 295.116
115300 295.29
115400 304.409
115500 302.175
115600 309.425
115700 302.859
115800 306.733
115900 304.372
116000 303.502
116100 310.218
116200 303.9
116300 302.081
116400 311.061
116500 305.131
116600 303.432
116700 312.706
116800 295.107
116900 297.758
117000 299.306
117100 301.371
117200 298.882
117300 305.749
117400 299.051
117500 303.594
117600 291.721
117700 297.828
117800 301.591
117900 308.548
118000 293.457
118100 307.773
118200 299.959
118300 297.051
118400 301.818
118500 298.377
118600 304.863
118700 301.699
118800 310.612
118900 296.22
119000 296.229
119100 303.689
119200 292.561
119300 302.019
119400 300.328
119500 302.559
119600 307.195
119700 315.201
119800 297.161
119900 298.606
120000 289.824
120100 308.082
120200 303.135
120300 317.91
120400 306.241
120500 293.026
120600 306.298
120700 295.852
120800 304.509
120900 291.085
121000 289.226
121100 295.101
121200 300.593
121300 300.573
121400 306.046
121500 304.91
121600 305.556
121700 293.655
121800 296.644
121900 304.181
122000 299.891
122100 308.547
122200 311.845
122300 301.649
122400 305.626
122500 295.534
122600 301.117
122700 295.325
122800 300.476
122900 302.96
123000 303.138
123100 302.957
123200 303.537
123300 307.479
123400 310.916
123500 308.97
123600 309.473
123700 302.696
123800 310.771
123900 297.634
124000 299.185
124100 295.643
124200 300.376
124300 308.202
124400 307.122
124500 294.29
124600 305.681
124700 305.679
124800 322.958
124900 307.11
125000 306.918
125100 300.947
125200 300.551
125300 309.949
125400 313.756
125500 303.031
125600 310.146
125700 314.224
125800 300.742
125900 308.583
126000 303.163
126100 293.811
126200 294.602
126300 295.515
126400 310.264
126500 307.603
126600 298.667
126700 297.887
126800 297.034
126900 307.376
127000 301.234
127100 297.511
