# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
22600 -3.06887 3.72964
22700 -3.39894 2.51727
22800 -3.49216 2.33095
22900 -3.85899 3.18689
23000 -2.75953 3.35477
23100 -2.0422 3.82341
23200 -2.61781 4.03369
23300 -2.15499 3.74559
23400 -3.26888 3.66164
23500 -2.45071 2.67857
23600 -1.86787 1.92448
23700 -2.26186 0.770395
23800 -2.70551 1.84629
23900 -3.43877 1.95843
24000 -3.2091 1.98018
24100 -3.09271 2.79224
24200 -2.85163 2.84115
24300 -2.58147 3.26757
24400 -2.62093 3.35971
24500 -4.49533 3.50801
24600 -4.4345 3.09149
24700 -2.39319 2.94625
24800 -2.90823 2.79857
24900 -2.61785 2.54027
25000 -3.05088 2.40382
25100 -2.91788 3.25671
25200 -2.77648 3.19889
25300 -3.48862 3.05458
25400 -2.08269 2.80746
25500 -1.69444 2.28775
25600 -1.25781 3.75245
25700 -2.36895 2.66457
25800 -2.60834 2.3763
25900 -3.5175 2.54114
26000 -3.21997 2.46948
26100 -2.34289 2.13443
26200 -1.37731 4.02771
26300 -2.39304 4.57056
26400 -3.83049 3.37384
26500 -4.4685 4.35776
26600 -2.7215 4.84308
26700 -3.06496 3.70274
26800 -3.16414 2.64086
26900 -2.67569 3.71312
27000 -3.30101 4.26302
27100 -3.36801 3.34443
27200 -2.60302 3.4579
27300 -3.01488 3.85032
27400 -2.54614 2.40252
27500 -1.93927 3.05305
27600 -3.82983 2.96188
27700 -2.90289 3.08783
27800 -1.67953 2.67704
27900 -2.57658 2.33922
28000 -3.02421 2.49694
28100 -4.24465 3.71592
28200 -2.62445 3.8612
28300 -3.04856 3.34584
28400 -3.26966 3.76007
28500 -3.34022 3.22469
28600 -2.5655 2.61231
28700 -2.14809 3.31827
28800 -2.25948 2.97437
28900 -3.33239 2.04974
29000 -4.02195 2.61129
29100 -3.13745 2.2984
29200 -2.5785 1.10343
29300 -2.81499 2.28465
29400 -3.96672 2.12686
29500 -2.86607 2.89824
29600 -3.13388 3.40436
29700 -3.70619 2.68777
29800 -2.6777 3.16886
29900 -2.60967 4.31298
30000 -2.83053 3.60051
30100 -2.2222 2.75194
30200 -1.68163 3.05195
30300 -1.45141 1.97376
30400 -2.6243 2.65109
30500 -4.19482 3.63681
30600 -4.44008 3.1902
30700 -2.80327 3.31476
30800 -2.81626 3.47269
30900 -2.77277 3.30454
31000 -2.99149 1.5668
31100 -2.42311 2.92587
31200 -3.47988 2.81451
31300 -4.0026 2.61822
31400 -2.84777 2.61241
31500 -4.12823 2.82672
31600 -3.85289 2.92513
31700 -3.96589 4.17227
31800 -4.6335 2.03836
31900 -2.65398 3.1739
32000 -3.23248 2.42116
32100 -3.46341 3.14017
32200 -3.1673 3.51018
32300 -1.50651 2.93677
32400 -1.82379 3.72428
32500 -0.949494 3.00868
32600 -2.1249 3.60669
32700 -1.76086 3.68622
32800 -3.0088 4.28378
32900 -2.82781 4.8198
33000 -2.75682 5.0529
33100 -3.98202 3.90977
33200 -3.15542 4.84605
33300 -3.65959 4.63546
33400 -3.2277 4.40299
33500 -2.15637 3.70181
33600 -1.81262 4.25113
33700 -1.53101 3.91744
33800 -1.79796 3.91683
