# Time-averaged data for fix eout
# TimeStep v_etot c_watT
4940 -3063.94 296.157
4960 -3063.93 304.809
4980 -3063.93 299.692
5000 -3063.93 299.571
5020 -3063.93 304.928
5040 -3063.93 292.243
5060 -3063.93 289.714
5080 -3063.93 296.609
5100 -3063.93 294.899
5120 -3063.93 294.766
5140 -3063.93 298.525
5160 -3063.93 289.021
5180 -3063.94 300.413
5200 -3063.93 290.635
5220 -3063.94 306.273
5240 -3063.94 310.483
5260 -3063.93 295.867
5280 -3063.94 301.988
5300 -3063.94 295.853
5320 -3063.94 304.171
5340 -3063.94 307.771
5360 -3063.94 293.163
5380 -3063.94 296.457
5400 -3063.93 301.055
5420 -3063.93 293.588
5440 -3063.94 305.658
5460 -3063.93 306.022
5480 -3063.93 301.89
5500 -3063.93 298.085
5520 -3063.93 302.051
5540 -3063.93 295.281
5560 -3063.93 305.238
5580 -3063.93 305.571
5600 -3063.93 305.772
5620 -3063.93 300.581
5640 -3063.93 309.516
5660 -3063.93 303.875
5680 -3063.93 290.062
5700 -3063.93 291.361
5720 -3063.92 293.844
5740 -3063.93 298.618
5760 -3063.92 289.249
5780 -3063.93 294.991
5800 -3063.92 293.123
5820 -3063.93 297.582
5840 -3063.93 295.62
5860 -3063.93 300.935
5880 -3063.94 302.543
5900 -3063.93 293.191
5920 -3063.93 302.216
5940 -3063.93 293.345
5960 -3063.93 289.662
5980 -3063.93 293.907
6000 -3063.93 300.805
6020 -3063.93 295.906
6040 -3063.93 303.34
6060 -3063.94 304.057
6080 -3063.93 303.927
6100 -3063.93 295.525
6120 -3063.93 296.963
6140 -3063.93 288.898
6160 -3063.92 290.516
6180 -3063.93 292.119
6200 -3063.93 298.646
6220 -3063.93 305.609
6240 -3063.93 301.955
6260 -3063.93 299.949
6280 -3063.93 306.641
6300 -3063.94 293.688
6320 -3063.94 296.696
6340 -3063.93 293.454
6360 -3063.93 295.947
6380 -3063.93 292.083
6400 -3063.93 294.353
6420 -3063.93 301.995
6440 -3063.93 294.345
6460 -3063.93 295.233
6480 -3063.93 296.471
6500 -3063.93 297.029
6520 -3063.93 291.53
6540 -3063.94 305.127
6560 -3063.94 306.019
6580 -3063.93 300.613
6600 -3063.93 305.044
6620 -3063.93 295.589
6640 -3063.93 297.699
6660 -3063.93 304.365
6680 -3063.93 306.423
6700 -3063.93 302.368
6720 -3063.93 309.31
6740 -3063.93 312.729
6760 -3063.93 306.501
6780 -3063.93 309.022
6800 -3063.93 302.545
6820 -3063.93 293.501
6840 -3063.93 290.393
6860 -3063.93 295.568
6880 -3063.93 292.044
6900 -3063.94 308.555
6920 -3063.94 314.182
6940 -3063.93 304.744
6960 -3063.95 303.261
6980 -3063.93 303.44
7000 -3063.93 296.414
7020 -3063.93 299.13
7040 -3063.95 303.621
7060 -3063.94 303.013
7080 -3063.94 297.789
7100 -3063.94 295.555
7120 -3063.93 298.57
7140 -3063.93 295.692
7160 -3063.94 299.237
7180 -3063.93 298.219
7200 -3063.93 295.532
7220 -3063.93 299.017
7240 -3063.93 297.8
7260 -3063.93 299.539
7280 -3063.93 290.176
7300 -3063.93 296.748
7320 -3063.93 297.601
7340 -3063.94 302.634
7360 -3063.93 295.558
7380 -3063.93 303.244
7400 -3063.94 298.487
7420 -3063.93 305.426
7440 -3063.94 295.506
7460 -3063.93 294.089
7480 -3063.93 296.487
7500 -3063.93 287.086
7520 -3063.93 298.515
7540 -3063.93 301.34
7560 -3063.94 299.627
7580 -3063.94 304.251
7600 -3063.93 298.548
7620 -3063.93 304.829
7640 -3063.93 301.156
7660 -3063.93 300.758
7680 -3063.93 304.028
7700 -3063.93 295.333
7720 -3063.93 295.145
7740 -3063.93 300.046
7760 -3063.93 293.083
7780 -3063.93 289.153
7800 -3063.93 293.456
7820 -3063.92 284.999
7840 -3063.93 296.293
7860 -3063.93 291.771
7880 -3063.94 292.592
7900 -3063.93 300.874
7920 -3063.94 292.936
7940 -3063.93 291.417
7960 -3063.93 289.461
7980 -3063.93 285.591
8000 -3063.92 284.017
8020 -3063.93 287.908
8040 -3063.93 297.429
8060 -3063.93 286.224
8080 -3063.93 286.001
8100 -3063.94 296.75
8120 -3063.93 291.563
8140 -3063.93 296.72
8160 -3063.93 293.824
8180 -3063.93 299.718
8200 -3063.93 304.728
8220 -3063.93 298.654
8240 -3063.93 303.758
8260 -3063.94 300.192
8280 -3063.93 289.686
8300 -3063.93 300.771
8320 -3063.93 298.181
8340 -3063.93 301.411
8360 -3063.93 296.314
8380 -3063.93 290.435
8400 -3063.93 302.747
8420 -3063.93 297.968
8440 -3063.93 294.988
8460 -3063.93 286.708
8480 -3063.94 296.312
8500 -3063.93 302.966
8520 -3063.93 298.806
8540 -3063.94 298.133
8560 -3063.94 302.516
8580 -3063.93 300.046
8600 -3063.93 300.437
8620 -3063.93 301.555
8640 -3063.93 296.515
8660 -3063.93 300.682
8680 -3063.94 310.565
8700 -3063.94 299.741
8720 -3063.93 293.83
8740 -3063.94 302.125
8760 -3063.93 306.144
8780 -3063.93 298.986
8800 -3063.93 302.788
8820 -3063.93 300.112
8840 -3063.93 301.227
8860 -3063.93 299.491
8880 -3063.93 294.443
8900 -3063.93 304.9
8920 -3063.94 308.457
8940 -3063.93 297.053
8960 -3063.93 297.569
8980 -3063.93 289.987
9000 -3063.93 295.053
9020 -3063.93 301.521
9040 -3063.93 289.828
9060 -3063.93 296.763
9080 -3063.93 288.517
9100 -3063.93 302.4
9120 -3063.93 301.825
9140 -3063.93 300.635
9160 -3063.93 297.916
9180 -3063.93 302.324
9200 -3063.94 305.657
9220 -3063.93 309.842
9240 -3063.94 308.06
9260 -3063.94 306.297
9280 -3063.93 305.327
9300 -3063.93 307.024
9320 -3063.93 305.234
9340 -3063.93 304.031
9360 -3063.93 306.233
9380 -3063.93 302.769
9400 -3063.93 302.686
9420 -3063.93 302.308
9440 -3063.93 284.574
9460 -3063.93 295.723
9480 -3063.93 296.282
9500 -3063.94 295.304
9520 -3063.93 296.687
9540 -3063.94 294.277
9560 -3063.93 293.202
9580 -3063.94 306.19
9600 -3063.93 290.336
9620 -3063.93 301.405
9640 -3063.93 296.564
9660 -3063.93 299.278
9680 -3063.93 295.386
9700 -3063.93 298.785
9720 -3063.93 313.046
9740 -3063.93 303.249
9760 -3063.93 308.018
9780 -3063.93 301.034
9800 -3063.93 307.775
9820 -3063.93 305.485
9840 -3063.93 309.837
9860 -3063.93 293.999
9880 -3063.93 297.047
9900 -3063.93 303.208
9920 -3063.93 301.379
9940 -3063.93 299.109
9960 -3063.93 309.177
9980 -3063.93 315.023
10000 -3063.93 310.392
10020 -3063.93 296.589
10040 -3063.93 303.168
10060 -3063.93 297.687
10080 -3063.93 293.473
10100 -3063.93 300.221
10120 -3063.93 301.708
10140 -3063.93 309.453
10160 -3063.93 304.629
10180 -3063.92 297.013
10200 -3063.93 309.559
10220 -3063.93 306.607
10240 -3063.92 293.515
10260 -3063.93 288.641
10280 -3063.93 316.059
10300 -3063.94 304.642
10320 -3063.93 296.788
10340 -3063.93 297.111
10360 -3063.92 304.882
10380 -3063.92 300.803
10400 -3063.93 305.972
10420 -3063.92 296.074
10440 -3063.92 306.583
10460 -3063.92 304.777
10480 -3063.93 304.159
10500 -3063.93 313.941
10520 -3063.93 302.131
10540 -3063.92 299.238
10560 -3063.93 304.478
10580 -3063.92 298.765
10600 -3063.93 297.052
10620 -3063.93 302.58
10640 -3063.94 303.338
10660 -3063.93 299.639
10680 -3063.93 303.385
10700 -3063.93 299.503
10720 -3063.93 301.575
10740 -3063.93 309.966
10760 -3063.93 300.261
10780 -3063.92 304.002
10800 -3063.93 308.942
10820 -3063.93 310.533
10840 -3063.93 310.583
10860 -3063.93 304.562
10880 -3063.93 301.439
10900 -3063.93 304.666
10920 -3063.92 290.574
10940 -3063.92 291.626
10960 -3063.92 297.828
10980 -3063.93 292.452
11000 -3063.93 304.447
11020 -3063.93 307.497
11040 -3063.93 298.817
11060 -3063.93 295.954
11080 -3063.94 313.889
11100 -3063.93 298.08
11120 -3063.93 304.496
11140 -3063.94 311.106
11160 -3063.94 309.125
11180 -3063.94 306.178
11200 -3063.93 299.415
11220 -3063.94 297.723
11240 -3063.94 297.719
11260 -3063.93 292.206
11280 -3063.94 306.346
11300 -3063.94 304.432
11320 -3063.94 304.066
11340 -3063.94 303.709
11360 -3063.93 297.496
11380 -3063.93 291.663
11400 -3063.93 301.595
11420 -3063.93 303.272
11440 -3063.93 298.091
11460 -3063.93 301.677
11480 -3063.93 295.459
11500 -3063.94 306.523
11520 -3063.94 303.439
11540 -3063.93 291.374
11560 -3063.93 302.562
11580 -3063.94 311.244
11600 -3063.94 303.488
11620 -3063.94 302.04
11640 -3063.94 305.966
11660 -3063.93 304.864
11680 -3063.93 307.687
11700 -3063.93 300.454
11720 -3063.93 301.868
11740 -3063.94 297.704
11760 -3063.94 306.88
11780 -3063.94 293.105
11800 -3063.93 302.373
11820 -3063.93 304.476
11840 -3063.93 300.528
11860 -3063.93 299.863
11880 -3063.93 300.573
11900 -3063.93 298.406
11920 -3063.93 305.572
11940 -3063.94 307.684
11960 -3063.94 300.679
11980 -3063.94 302.414
12000 -3063.94 313.107
12020 -3063.94 310.856
12040 -3063.94 305.104
12060 -3063.94 308.757
12080 -3063.94 305.364
12100 -3063.94 306.643
12120 -3063.93 304.739
12140 -3063.93 299.461
12160 -3063.94 304.694
12180 -3063.94 299.765
12200 -3063.94 304.133
12220 -3063.94 299.415
12240 -3063.94 300.756
12260 -3063.94 306.528
12280 -3063.94 306.777
12300 -3063.94 302.95
12320 -3063.94 309.555
12340 -3063.94 303.914
12360 -3063.94 307.812
12380 -3063.93 293.022
12400 -3063.94 310.081
12420 -3063.94 300.788
12440 -3063.94 301.281
12460 -3063.94 298.204
12480 -3063.94 302.674
12500 -3063.94 303.044
12520 -3063.93 296.049
12540 -3063.93 297.751
12560 -3063.93 298.751
12580 -3063.94 307.83
12600 -3063.94 301.815
12620 -3063.93 298.606
12640 -3063.93 294.75
12660 -3063.93 303.724
12680 -3063.93 305.564
12700 -3063.94 302.845
12720 -3063.94 303.344
12740 -3063.94 304.813
12760 -3063.93 298.018
12780 -3063.93 301.711
12800 -3063.93 296.16
12820 -3063.93 294.519
12840 -3063.94 300.478
12860 -3063.93 292.197
