# Time-averaged data for fix tout
# TimeStep c_watT
45500 316.67
45600 302.064
45700 304.011
45800 308.261
45900 319.672
46000 317.734
46100 318.959
46200 312.957
46300 302.294
46400 315.026
46500 308.357
46600 314.309
46700 310.774
46800 315.352
46900 323.88
47000 309.026
47100 313.847
47200 310.643
47300 320.437
47400 303.349
47500 308.378
47600 307.63
47700 312.992
47800 308.187
47900 310.033
48000 305.326
48100 311.735
48200 312.948
48300 305.066
48400 306.629
48500 295.534
48600 305.102
48700 311.45
48800 304.359
48900 299.532
49000 297.485
49100 290.355
49200 301.149
49300 301.115
49400 305.523
49500 311.393
49600 295.941
49700 308.699
49800 304.056
49900 307.974
50000 307.781
50100 308.343
50200 308.423
50300 303.659
50400 297.304
50500 309.071
50600 303.252
50700 302.549
50800 303.438
50900 301.81
51000 308.813
51100 310.203
51200 303.423
51300 312.952
51400 297.206
51500 309.911
51600 309.367
51700 301.694
51800 295.127
51900 303.891
52000 292.176
52100 297.847
52200 296.448
52300 302.536
52400 304.398
52500 302.91
52600 295.896
52700 300.244
52800 313.446
52900 310.001
53000 293.818
53100 317.354
53200 301.551
53300 305.9
53400 306.813
53500 295.042
53600 307.703
53700 302.222
53800 305.782
53900 312.961
54000 310.074
54100 304.198
54200 299.465
54300 306.721
54400 308.889
54500 298.067
54600 292.955
54700 303.795
54800 301.049
54900 296.71
55000 301.752
55100 303.814
55200 302.296
55300 292.029
55400 305.562
55500 303.701
55600 306.009
55700 299.068
55800 304.732
55900 306.744
56000 312.552
56100 306.154
56200 303.07
56300 296.769
56400 299.002
56500 309.041
56600 316.109
56700 294.969
56800 306.744
56900 307.06
57000 295.888
57100 308.675
57200 309.487
57300 293.966
57400 305.827
57500 302.692
57600 303.924
57700 297.601
57800 307.908
57900 318.47
58000 315.161
58100 307.766
58200 309.084
58300 315.358
58400 310.48
58500 308.496
58600 309.473
58700 299.407
58800 304.3
58900 299.783
59000 297.433
59100 298.307
59200 298.663
59300 305.779
59400 309.713
59500 301.081
59600 302.037
59700 298.555
59800 306.815
59900 296.478
60000 297.227
60100 296.062
60200 296.491
60300 303.551
60400 302.864
60500 286.358
60600 295.897
60700 300.383
60800 306.248
60900 294.886
61000 302.954
61100 309.138
61200 323.125
61300 305.443
61400 299.511
61500 309.119
61600 304.159
61700 298.533
61800 298.601
61900 304.951
62000 310.674
62100 314.32
62200 308.708
62300 310.066
62400 316.436
62500 307.965
62600 304.863
62700 300.965
62800 305.639
62900 301.663
63000 303.317
63100 299.918
63200 301.285
63300 313.417
63400 306.439
63500 306.555
63600 307.973
63700 316.292
63800 309.019
63900 314.268
64000 295.13
64100 309.29
64200 302.469
64300 313.328
64400 302.376
64500 300.493
64600 309.862
64700 314.822
64800 302.032
64900 301.373
65000 291.83
65100 303.86
65200 315.473
65300 304.487
65400 293.551
65500 303.381
65600 310.188
65700 311.846
65800 304.09
65900 292.052
66000 296.326
66100 300.094
66200 301.235
66300 298.265
66400 304.533
66500 304.386
66600 303.725
66700 301.263
66800 293.859
66900 301.483
67000 300.024
67100 299.356
67200 311.41
67300 302.117
67400 307.413
